model,ens,exp,postprocess,table,grid,varn,period,mean
NorESM2-MM,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2081-2100,3.79
TaiESM1,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2081-2100,5.62
UKESM1-0-LL,r1i1p1f2,ssp585,global_mean,Amon,gn,tas,2081-2100,6.52
ACCESS-CM2,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2016-2035,1.51
ACCESS-ESM1-5,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2016-2035,1.41
AWI-CM-1-1-MR,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2016-2035,1.71
BCC-CSM2-MR,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2016-2035,1.31
CAMS-CSM1-0,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2016-2035,1.09
CESM2-WACCM,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2016-2035,1.67
CESM2,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2016-2035,1.57
CIESM,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2016-2035,1.87
CMCC-CM2-SR5,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2016-2035,1.60
CNRM-CM6-1-HR,r1i1p1f2,ssp585,global_mean,Amon,gr,tas,2016-2035,1.80
CNRM-CM6-1,r1i1p1f2,ssp585,global_mean,Amon,gr,tas,2016-2035,1.42
CNRM-ESM2-1,r1i1p1f2,ssp585,global_mean,Amon,gr,tas,2016-2035,1.29
CanESM5-CanOE,r1i1p2f1,ssp585,global_mean,Amon,gn,tas,2016-2035,2.35
CanESM5,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2016-2035,2.15
E3SM-1-1,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2016-2035,1.57
EC-Earth3-CC,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2016-2035,1.77
EC-Earth3-Veg-LR,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2016-2035,1.44
EC-Earth3-Veg,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2016-2035,1.96
EC-Earth3,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2016-2035,1.55
FGOALS-f3-L,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2016-2035,1.66
FGOALS-g3,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2016-2035,1.46
FIO-ESM-2-0,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2016-2035,1.83
GFDL-CM4,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,2016-2035,1.36
GFDL-ESM4,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,2016-2035,1.11
GISS-E2-1-G,r1i1p1f2,ssp585,global_mean,Amon,gn,tas,2016-2035,1.80
HadGEM3-GC31-LL,r1i1p1f3,ssp585,global_mean,Amon,gn,tas,2016-2035,1.78
HadGEM3-GC31-MM,r1i1p1f3,ssp585,global_mean,Amon,gn,tas,2016-2035,1.52
IITM-ESM,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2016-2035,1.29
INM-CM4-8,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,2016-2035,1.36
INM-CM5-0,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,2016-2035,1.32
IPSL-CM6A-LR,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2016-2035,1.70
KACE-1-0-G,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2016-2035,2.12
KIOST-ESM,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,2016-2035,1.68
MCM-UA-1-0,r1i1p1f2,ssp585,global_mean,Amon,gn,tas,2016-2035,1.61
MIROC6,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2016-2035,1.06
MIROC-ES2L,r1i1p1f2,ssp585,global_mean,Amon,gn,tas,2016-2035,1.18
MPI-ESM1-2-HR,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2016-2035,1.33
MPI-ESM1-2-LR,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2016-2035,1.26
MRI-ESM2-0,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2016-2035,1.49
NESM3,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2016-2035,1.67
NorESM2-LM,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2016-2035,1.04
NorESM2-MM,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2016-2035,1.02
TaiESM1,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2016-2035,1.36
UKESM1-0-LL,r1i1p1f2,ssp585,global_mean,Amon,gn,tas,2016-2035,1.65
ACCESS-CM2,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2046-2065,3.01
ACCESS-ESM1-5,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2046-2065,2.75
AWI-CM-1-1-MR,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2046-2065,2.82
BCC-CSM2-MR,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2046-2065,2.57
CAMS-CSM1-0,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2046-2065,1.89
CESM2-WACCM,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2046-2065,3.15
CESM2,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2046-2065,3.13
CIESM,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2046-2065,3.45
CMCC-CM2-SR5,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2046-2065,3.19
CNRM-CM6-1-HR,r1i1p1f2,ssp585,global_mean,Amon,gr,tas,2046-2065,3.31
CNRM-CM6-1,r1i1p1f2,ssp585,global_mean,Amon,gr,tas,2046-2065,2.84
CNRM-ESM2-1,r1i1p1f2,ssp585,global_mean,Amon,gr,tas,2046-2065,2.48
CanESM5-CanOE,r1i1p2f1,ssp585,global_mean,Amon,gn,tas,2046-2065,4.22
CanESM5,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2046-2065,4.08
E3SM-1-1,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2046-2065,3.74
EC-Earth3-CC,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2046-2065,2.96
EC-Earth3-Veg-LR,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2046-2065,2.68
EC-Earth3-Veg,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2046-2065,3.29
EC-Earth3,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2046-2065,2.94
FGOALS-f3-L,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2046-2065,2.83
FGOALS-g3,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2046-2065,2.40
FIO-ESM-2-0,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2046-2065,3.11
GFDL-CM4,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,2046-2065,2.78
GFDL-ESM4,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,2046-2065,2.12
