model,ens,exp,postprocess,table,varn,period,mean
bcc-csm1-1-m,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.98
bcc-csm1-1,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.82
BNU-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2011-2020,1.89
CCSM4,r1i1p1,rcp26,global_mean,Amon,tas,2011-2020,1.58
CESM1-CAM5,r1i1p1,rcp26,global_mean,Amon,tas,2011-2020,1.28
CNRM-CM5,r1i1p1,rcp26,global_mean,Amon,tas,2011-2020,1.14
CSIRO-Mk3-6-0,r1i1p1,rcp26,global_mean,Amon,tas,2011-2020,1.16
CanESM2,r1i1p1,rcp26,global_mean,Amon,tas,2011-2020,1.70
EC-EARTH,r8i1p1,rcp26,global_mean,Amon,tas,2011-2020,1.45
FGOALS-g2,r1i1p1,rcp26,global_mean,Amon,tas,2011-2020,0.95
FIO-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2011-2020,1.28
GISS-E2-H,r1i1p1,rcp26,global_mean,Amon,tas,2011-2020,1.41
GISS-E2-R,r1i1p1,rcp26,global_mean,Amon,tas,2011-2020,1.12
IPSL-CM5A-LR,r1i1p1,rcp26,global_mean,Amon,tas,2011-2020,1.79
IPSL-CM5A-MR,r1i1p1,rcp26,global_mean,Amon,tas,2011-2020,1.59
MIROC5,r1i1p1,rcp26,global_mean,Amon,tas,2011-2020,1.07
MPI-ESM-LR,r1i1p1,rcp26,global_mean,Amon,tas,2011-2020,1.44
MPI-ESM-MR,r1i1p1,rcp26,global_mean,Amon,tas,2011-2020,1.47
MRI-CGCM3,r1i1p1,rcp26,global_mean,Amon,tas,2011-2020,0.81
NorESM1-ME,r1i1p1,rcp26,global_mean,Amon,tas,2011-2020,1.08
NorESM1-M,r1i1p1,rcp26,global_mean,Amon,tas,2011-2020,1.07
bcc-csm1-1-m,r1i1p1,rcp26,global_mean,Amon,tas,2011-2020,1.71
bcc-csm1-1,r1i1p1,rcp26,global_mean,Amon,tas,2011-2020,1.47
BNU-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2021-2030,2.15
CCSM4,r1i1p1,rcp26,global_mean,Amon,tas,2021-2030,1.76
CESM1-CAM5,r1i1p1,rcp26,global_mean,Amon,tas,2021-2030,1.53
CNRM-CM5,r1i1p1,rcp26,global_mean,Amon,tas,2021-2030,1.31
CSIRO-Mk3-6-0,r1i1p1,rcp26,global_mean,Amon,tas,2021-2030,1.42
CanESM2,r1i1p1,rcp26,global_mean,Amon,tas,2021-2030,1.95
